lon,lat,score,chance,tile_id,pathway
31.869635000000002,30.999955,6.582184e-01,0.0045,tile_31.8500_30.9550,multitemporal_change
31.869745,30.999955,1.444310e+01,0.2758,tile_31.8500_30.9550,multitemporal_change
31.869855,30.999955,3.680735e+01,0.7160,tile_31.8500_30.9550,multitemporal_change
31.869965,30.999955,2.415949e+01,0.4671,tile_31.8500_30.9550,multitemporal_change
31.870075,30.999955,3.649821e+00,0.0634,tile_31.8500_30.9550,multitemporal_change
31.870185000000003,30.999955,3.170510e+00,0.0540,tile_31.8500_30.9550,multitemporal_change
31.870295000000002,30.999955,1.151554e+00,0.0143,tile_31.8500_30.9550,multitemporal_change
31.870405,30.999955,1.895428e+00,0.0289,tile_31.8500_30.9550,multitemporal_change
31.872165000000003,30.999955,4.533597e-01,0.0005,tile_31.8500_30.9550,multitemporal_change
31.872275000000002,30.999955,6.749171e-01,0.0049,tile_31.8500_30.9550,multitemporal_change
31.872385,30.999955,5.517197e-01,0.0024,tile_31.8500_30.9550,multitemporal_change
31.894165,30.999955,4.788840e-01,0.0010,tile_31.8500_30.9550,multitemporal_change
31.894275,30.999955,6.856104e-01,0.0051,tile_31.8500_30.9550,multitemporal_change
31.894385,30.999955,7.561460e-01,0.0065,tile_31.8500_30.9550,multitemporal_change
31.894495000000003,30.999955,1.018337e+00,0.0116,tile_31.8500_30.9550,multitemporal_change
31.894605000000002,30.999955,1.349987e+00,0.0182,tile_31.8500_30.9550,multitemporal_change
31.894715,30.999955,1.615723e+00,0.0234,tile_31.8500_30.9550,multitemporal_change
31.894825,30.999955,5.458939e-01,0.0023,tile_31.8500_30.9550,multitemporal_change
31.861275000000003,30.999865,4.426777e-01,0.0003,tile_31.8500_30.9550,multitemporal_change
31.861385000000002,30.999865,6.078454e-01,0.0036,tile_31.8500_30.9550,multitemporal_change
31.861495,30.999865,4.408205e-01,0.0003,tile_31.8500_30.9550,multitemporal_change
31.867435,30.999865,6.925191e-01,0.0052,tile_31.8500_30.9550,multitemporal_change
