lon,lat,score,chance,tile_id,pathway
30.912636,29.29277,2.128007e+01,0.0229,tile_30.8740_29.2470,temporal_variance_999
30.91274,29.29277,1.113858e+01,0.0093,tile_30.8740_29.2470,temporal_variance_999
30.912532,29.292678,5.711187e+00,0.0021,tile_30.8740_29.2470,temporal_variance_999
30.912636,29.292678,2.362704e+01,0.0260,tile_30.8740_29.2470,temporal_variance_999
30.91274,29.292678,9.953466e+00,0.0078,tile_30.8740_29.2470,temporal_variance_999
30.919292,29.286514,1.099066e+01,0.0091,tile_30.8740_29.2470,temporal_variance_999
30.919292,29.286421999999998,1.108209e+01,0.0093,tile_30.8740_29.2470,temporal_variance_999
30.916276,29.28633,4.531137e+00,0.0005,tile_30.8740_29.2470,temporal_variance_999
30.91638,29.28633,1.159106e+01,0.0099,tile_30.8740_29.2470,temporal_variance_999
30.916483999999997,29.28633,1.108618e+01,0.0093,tile_30.8740_29.2470,temporal_variance_999
30.916276,29.286238,3.404945e+01,0.0399,tile_30.8740_29.2470,temporal_variance_999
30.91638,29.286238,5.538452e+01,0.0684,tile_30.8740_29.2470,temporal_variance_999
30.916483999999997,29.286238,1.559477e+01,0.0153,tile_30.8740_29.2470,temporal_variance_999
30.916276,29.286146,1.540775e+01,0.0150,tile_30.8740_29.2470,temporal_variance_999
30.91638,29.286146,6.215652e+01,0.0774,tile_30.8740_29.2470,temporal_variance_999
30.916483999999997,29.286146,4.866082e+00,0.0010,tile_30.8740_29.2470,temporal_variance_999
30.91638,29.286054,5.956257e+00,0.0024,tile_30.8740_29.2470,temporal_variance_999
30.916172,29.285961999999998,1.484716e+01,0.0143,tile_30.8740_29.2470,temporal_variance_999
30.916276,29.285961999999998,6.955426e+01,0.0873,tile_30.8740_29.2470,temporal_variance_999
30.91638,29.285961999999998,1.362438e+01,0.0127,tile_30.8740_29.2470,temporal_variance_999
30.916068,29.28587,5.465545e+00,0.0018,tile_30.8740_29.2470,temporal_variance_999
30.916172,29.28587,1.875159e+02,0.2447,tile_30.8740_29.2470,temporal_variance_999
30.916276,29.28587,4.511741e+02,0.5966,tile_30.8740_29.2470,temporal_variance_999
30.91638,29.28587,1.638762e+02,0.2132,tile_30.8740_29.2470,temporal_variance_999
30.916483999999997,29.28587,4.558132e+00,0.0006,tile_30.8740_29.2470,temporal_variance_999
30.915756,29.285778,8.679847e+00,0.0061,tile_30.8740_29.2470,temporal_variance_999
30.91586,29.285778,4.711099e+00,0.0008,tile_30.8740_29.2470,temporal_variance_999
30.916068,29.285778,1.120731e+01,0.0094,tile_30.8740_29.2470,temporal_variance_999
30.916172,29.285778,2.463952e+02,0.3233,tile_30.8740_29.2470,temporal_variance_999
30.916276,29.285778,4.805176e+02,0.6358,tile_30.8740_29.2470,temporal_variance_999
30.91638,29.285778,1.280752e+02,0.1654,tile_30.8740_29.2470,temporal_variance_999
30.916172,29.285686,1.232680e+01,0.0109,tile_30.8740_29.2470,temporal_variance_999
30.916276,29.285686,8.871636e+01,0.1129,tile_30.8740_29.2470,temporal_variance_999
30.91638,29.285686,4.377941e+01,0.0529,tile_30.8740_29.2470,temporal_variance_999
30.880084,29.284029999999998,4.730378e+00,0.0008,tile_30.8740_29.2470,temporal_variance_999
30.880084,29.283938,4.338142e+00,0.0003,tile_30.8740_29.2470,temporal_variance_999
30.919292,29.281822,4.655282e+00,0.0007,tile_30.8740_29.2470,temporal_variance_999
30.919396,29.281822,5.291098e+00,0.0015,tile_30.8740_29.2470,temporal_variance_999
30.919188,29.28127,6.306802e+00,0.0029,tile_30.8740_29.2470,temporal_variance_999
30.919188,29.281178,4.480398e+00,0.0005,tile_30.8740_29.2470,temporal_variance_999
30.919292,29.281178,2.824074e+01,0.0322,tile_30.8740_29.2470,temporal_variance_999
30.919396,29.281178,1.075770e+01,0.0088,tile_30.8740_29.2470,temporal_variance_999
30.919188,29.281086,4.411797e+00,0.0004,tile_30.8740_29.2470,temporal_variance_999
30.919292,29.281086,5.454161e+01,0.0673,tile_30.8740_29.2470,temporal_variance_999
30.919396,29.281086,3.791762e+01,0.0451,tile_30.8740_29.2470,temporal_variance_999
30.919292,29.280994,3.548196e+01,0.0418,tile_30.8740_29.2470,temporal_variance_999
30.919396,29.280994,5.190773e+01,0.0638,tile_30.8740_29.2470,temporal_variance_999
30.9195,29.280994,5.552076e+00,0.0019,tile_30.8740_29.2470,temporal_variance_999
30.919292,29.280902,1.023674e+01,0.0081,tile_30.8740_29.2470,temporal_variance_999
30.919396,29.280902,2.724738e+01,0.0308,tile_30.8740_29.2470,temporal_variance_999
30.9195,29.280902,4.553933e+00,0.0006,tile_30.8740_29.2470,temporal_variance_999
30.916068,29.280074,4.196524e+00,0.0001,tile_30.8740_29.2470,temporal_variance_999
30.916172,29.280074,2.831532e+01,0.0323,tile_30.8740_29.2470,temporal_variance_999
